pais_id,estado,condado,tipo,camas,poblacion,anho
DE,Brandenburg,havelland-fläming,ICU,0.364404,625680,2017
DE,Brandenburg,lausitz-spreewald,ICU,0.421587,483886,2017
DE,Brandenburg,oderland-spree,ICU,0.245911,431050,2017
DE,Brandenburg,prignitz-oberhavel,ICU,0.27989,385866,2017
DE,Brandenburg,uckermark-barnim,ICU,0.326046,303638,2017
DE,Berlin,berlin,ICU,0.76917,3769000,2017
DE,Bayern,allgäu,ICU,0.209635,467479,2017
DE,Bayern,augsburg,ICU,0.196453,855165,2017
DE,Bayern,bayerischer untermain,ICU,0.224449,302964,2017
DE,Bayern,donau-iller,ICU,0.208269,484949,2017
DE,Bayern,donau-wald,ICU,0.256923,650000,2017
DE,Bayern,ingolstadt,ICU,0.320833,480000,2017
DE,Bayern,landshut,ICU,0.187125,470273,2017
DE,Bayern,main-rhön,ICU,0.442271,438645,2017
DE,Bayern,mittelfranken,ICU,0.269364,1730000,2017
DE,Bayern,münchen,ICU,0.335562,2768488,2017
DE,Bayern,oberfranken-ost,ICU,0.338641,507913,2017
DE,Bayern,oberfranken-west,ICU,0.222973,592000,2017
DE,Bayern,oberland,ICU,0.321759,432000,2017
DE,Bayern,oberpfalz-nord,ICU,0.243368,501298,2017
DE,Bayern,regensburg,ICU,0.501407,596322,2017
DE,Bayern,südostoberbayern,ICU,0.547492,379914,2017
DE,Bayern,westmittelfranken,ICU,0.180461,410062,2017
DE,Bayern,würzburg,ICU,0.560474,378251,2017
DE,Niedersachsen,braunschweig,ICU,0.275738,1051724,2017
DE,Niedersachsen,bremen-umland,ICU,0.149166,435757,2017
DE,Niedersachsen,bremerhaven,ICU,0.379137,287495,2017
DE,Niedersachsen,emsland,ICU,0.286069,461427,2017
DE,Niedersachsen,göttingen,ICU,0.607462,322654,2017
DE,Niedersachsen,hamburg-umland-süd,ICU,0.282888,530245,2017
DE,Niedersachsen,hannover,ICU,0.349803,1346472,2017
DE,Niedersachsen,hildesheim,ICU,0.444546,425153,2017
DE,Niedersachsen,lüneburg,ICU,0.735294,156400,2017
DE,Niedersachsen,oldenburg,ICU,0.296775,461629,2017
DE,Niedersachsen,osnabrück,ICU,1.214752,196748,2017
DE,Niedersachsen,ost-friesland,ICU,0.266006,469915,2017
DE,Niedersachsen,südheide,ICU,0.2322,318691,2017
US,Alaska,aleutians east,ICU,0,3338,2019
US,Alaska,aleutians west,ICU,0,5784,2019
US,Alaska,anchorage,ACUTE,2.182916,298225,2018
